Comprende los objetivos del equipo y los objetivos de la empresa.,Ve cómo la contribución personal impacta el negocio.,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor.,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas,Comprende el impacto de nuestras operaciones en la comunidad.,Participa en actividades dentro de la comunidad.,Asume la responsabilidad de sus propias acciones y consecuencias.,Muestra congruencia en palabras y acciones.,Vive los valores y principios de Nestlé.,Actúa teniendo en cuenta la reputación y el mejor interés de la organización.,Interactúa con integridad y honestidad.,Admite errores.,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé.,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad.,Planea y prioriza el trabajo de manera efectiva.,Aprovecha cada oportunidad para hacer más de lo esperado.,No duda en actuar.,Persigue objetivos con energía y conduce hasta su finalización.,Asume la responsabilidad de entregar los resultados esperados (qué y cómo).,Busca activamente comentarios de otros.,Crea y ejecuta planes de desarrollo personal.,Aprovecha todas las oportunidades para aprender y crecer.,Aprende de los éxitos y errores.,Tiene recursos para perseguir objetivos de aprendizaje.,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites.",Obtiene la confianza y el apoyo de los demás.,Está preparado para hacer compromisos para lograr los objetivos del grupo.,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo.",Influye sin autoridad.,Se interesa y escucha atentamente las ideas de los demás.,Funciona a través de desacuerdos sin dañar las relaciones.,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos.,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia.",Inicia y contribuye a la innovación y la mejora continua.,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas.,Desafía constructivamente el por qué y pregunta por qué no.,Actúa de manera decisiva y proactiva.,Comprende los objetivos del equipo y los objetivos de la empresa._AUTOEVALUCIÓN,Ve cómo la contribución personal impacta el negocio._AUTOEVALUCIÓN,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor._AUTOEVALUCIÓN,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas_AUTOEVALUCIÓN,Comprende el impacto de nuestras operaciones en la comunidad._AUTOEVALUCIÓN,Participa en actividades dentro de la comunidad._AUTOEVALUCIÓN,Asume la responsabilidad de sus propias acciones y consecuencias._AUTOEVALUCIÓN,Muestra congruencia en palabras y acciones._AUTOEVALUCIÓN,Vive los valores y principios de Nestlé._AUTOEVALUCIÓN,Actúa teniendo en cuenta la reputación y el mejor interés de la organización._AUTOEVALUCIÓN,Interactúa con integridad y honestidad._AUTOEVALUCIÓN,Admite errores._AUTOEVALUCIÓN,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé._AUTOEVALUCIÓN,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad._AUTOEVALUCIÓN,Planea y prioriza el trabajo de manera efectiva._AUTOEVALUCIÓN,Aprovecha cada oportunidad para hacer más de lo esperado._AUTOEVALUCIÓN,No duda en actuar._AUTOEVALUCIÓN,Persigue objetivos con energía y conduce hasta su finalización._AUTOEVALUCIÓN,Asume la responsabilidad de entregar los resultados esperados (qué y cómo)._AUTOEVALUCIÓN,Busca activamente comentarios de otros._AUTOEVALUCIÓN,Crea y ejecuta planes de desarrollo personal._AUTOEVALUCIÓN,Aprovecha todas las oportunidades para aprender y crecer._AUTOEVALUCIÓN,Aprende de los éxitos y errores._AUTOEVALUCIÓN,Tiene recursos para perseguir objetivos de aprendizaje._AUTOEVALUCIÓN,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites._AUTOEVALUCIÓN",Obtiene la confianza y el apoyo de los demás._AUTOEVALUCIÓN,Está preparado para hacer compromisos para lograr los objetivos del grupo._AUTOEVALUCIÓN,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo._AUTOEVALUCIÓN",Influye sin autoridad._AUTOEVALUCIÓN,Se interesa y escucha atentamente las ideas de los demás._AUTOEVALUCIÓN,Funciona a través de desacuerdos sin dañar las relaciones._AUTOEVALUCIÓN,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos._AUTOEVALUCIÓN,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia._AUTOEVALUCIÓN",Inicia y contribuye a la innovación y la mejora continua._AUTOEVALUCIÓN,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas._AUTOEVALUCIÓN,Desafía constructivamente el por qué y pregunta por qué no._AUTOEVALUCIÓN,Actúa de manera decisiva y proactiva._AUTOEVALUCIÓN,Global Pay Grade,Function,Position,Technical Entry Date (date format),Age
4,4,4,3,4,4,4,3,4,4,4,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,4,3,3,4,2,4,3,3,4,4,4,3,2,2,2,3,4,3,2,2,3,4,3,4,3,3,2,3,3,4,4,3,3,4,3,3,K,Operations,Analista Agropecuario,3650,35-39
3,3,3,3,3,4,4,3,4,3,4,3,3,2,2,2,3,2,3,2,3,2,3,4,3,3,2,3,3,3,2,2,2,3,3,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I,Operations,Coordinador Fabricacion,3650,40-44
4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,I,Operations,Coordinador IMS,3635,30-34
3,3,3,3,3,2,4,4,4,4,4,3,3,4,3,4,3,4,3,2,3,3,4,3,2,3,3,3,3,2,2,3,4,3,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,4,3,3,J,Operations,Especialista Fabricacion,3582,35-39
3,4,4,4,3,4,4,3,4,3,4,3,3,4,3,4,4,3,3,3,4,3,4,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,I,Marketing & Sales,Asesor Nutricional Instit y Hospitales,3635,40-44
3,4,4,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,2,3,2,2,3,2,2,3,4,3,3,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3,4,4,3,4,3,4,3,3,3,3,4,3,4,K,Operations,Analista Aseguramiento Calidad,3635,30-34
3,3,2,2,3,3,3,3,4,2,4,3,4,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,L,Operations,Tecnico Aseguramiento Calidad,3619,45-49
3,3,3,4,4,3,4,4,3,3,4,4,3,4,3,3,4,4,3,3,3,3,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,L,Operations,Tecnico Supervisor de Turno,3619,35-39
3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,3,3,4,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,I,Operations,Coordinador Planeacion Produccion,3615,30-34
4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,4,4,3,4,3,3,3,3,3,2,4,4,4,3,4,4,3,3,2,3,2,3,3,2,2,2,3,3,4,3,3,2,3,3,3,2,3,3,3,3,3,J,Operations,Especialista Almacen,3601,35-39
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I,Operations,Coordinador Proyectos Ingenieria,3601,35-39
4,4,3,3,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,L,Marketing & Sales,Vendedor Operaciones,3587,40-44
4,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,J,General Management,Asistente Ejecutiva VP,3587,40-44
4,3,4,3,4,4,3,3,4,4,4,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,K,Operations,Analista Control de Stock,3587,30-34
4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,2,3,3,3,3,4,4,4,4,4,3,4,4,3,J,Operations,Especialista Aseguramiento Calidad,3587,35-39
3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,3,3,3,4,3,2,4,4,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,I,Operations,Coordinador MRP,3587,30-34
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,3,4,4,3,4,2,4,4,4,4,4,4,H,Marketing & Sales,Gerente de Distrito NN,3573,40-44
3,2,3,2,3,3,3,3,4,4,4,3,3,2,3,2,2,2,2,2,2,3,3,2,3,2,3,2,2,3,2,2,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,K,Marketing & Sales,Asesor Nutricional,3573,40-44
3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,4,3,4,4,4,4,3,4,4,3,3,3,4,4,4,K,Research & Development,Analista Innovacion Tecnologica,3573,30-34
4,3,3,3,4,3,3,3,3,4,4,3,3,3,2,3,3,3,3,2,2,3,3,4,3,4,4,3,3,3,3,3,2,2,3,2,3,4,4,3,4,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,3,3,4,2,4,2,4,4,4,4,4,4,J,Operations,Especialista Customer Solution,3556,35-39
4,4,4,4,4,3,3,2,2,3,2,2,2,3,4,3,4,3,4,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,2,3,4,4,4,4,3,3,3,4,3,2,4,4,3,3,3,4,J,Research & Development,Especialista Laboratorio Microbiologia,3558,30-34
4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,I,Operations,Coordinador Higienista,3556,30-34
4,3,3,2,3,3,4,2,4,3,4,4,4,2,3,3,3,2,3,2,2,2,3,4,3,3,2,3,2,3,4,3,3,2,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,J,Operations,Especialista Fabricacion,3543,30-34
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,K,Operations,Analista Soporte Almacen,3543,35-39
4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,4,3,3,4,4,3,4,4,3,4,3,3,4,4,4,H,Operations,Jefe Planeacion Demanda,3543,35-39
3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,J,Operations,Supervisor Manufactura,1116,25-29
4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,K,Marketing & Sales,Analista Informacion Cuentas Mayoreo,3543,50-54
4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,3,4,4,4,3,3,4,4,4,4,3,4,3,4,I,Marketing & Sales,Coordinador Operacion Trade Marketing,3528,30-34
4,3,3,4,3,3,4,4,4,4,4,3,3,4,3,2,3,3,3,2,2,3,4,2,4,2,2,3,2,3,3,3,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,I,Operations,Coordinador SHE,3528,60-64
4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,L,Operations,Tecnico Supervisor de Turno,3528,35-39
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,I,Research & Development,Coordinador Innovacion Tecnologica,3510,30-34
4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,4,3,3,4,4,4,3,3,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,J,Research & Development,Especialista Laboratorio Quimico,3510,30-34
2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,1,3,3,4,4,3,4,M,Research & Development,Asistente Limpieza Laboratorio,3510,35-39
3,4,3,3,4,3,4,3,3,3,3,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,4,3,3,2,3,4,3,3,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,3,3,3,4,4,3,3,4,3,3,4,3,3,4,M,Research & Development,Asistente Laboratorio Quimico,3510,30-34
4,3,3,3,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,3,3,3,3,3,4,3,3,4,3,4,3,3,3,4,3,4,3,3,3,I,Operations,Coordinador Maquilas,3513,35-39
3,3,3,3,4,3,3,3,4,4,4,3,4,4,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,L,Marketing & Sales,Vendedor Operaciones,3482,40-44
2,3,2,2,3,2,3,3,4,4,4,3,3,3,2,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,2,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,L,Research & Development,Tecnico Laboratorio Microbiologia,3482,30-34
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3,K,Marketing & Sales,Asesor Nutricional,3482,45-49
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,3,3,4,3,4,4,4,4,4,4,2,2,2,3,2,3,3,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,4,3,4,3,3,3,4,4,J,Marketing & Sales,Asesor Nutricional SR,3482,40-44
4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,3,4,4,2,3,3,3,3,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,I,Operations,Coordinador Planeacion Produccion,3482,45-49
4,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,2,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,3,2,3,3,4,4,3,4,3,3,J,Operations,Especialista Asuntos Regulatorios,3466,30-34
3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,3,4,3,4,4,4,3,3,3,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,J,Finance & Control,Especialista Costos,3467,30-34
4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,K,Marketing & Sales,Supervisor Ventas,3451,35-39
4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,4,4,4,3,3,4,4,3,4,4,3,4,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,3,2,2,4,4,3,3,3,2,4,4,4,4,3,3,4,3,4,2,3,4,3,3,2,4,I,Human Resources,Coordinador HRBP,3437,30-34
4,4,3,3,4,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4,3,4,3,4,4,3,3,3,4,3,3,4,4,3,3,4,2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,K,Operations,Analista Fabricacion,2993,30-34
3,3,4,3,4,3,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3,4,4,3,4,4,4,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,3,3,4,3,3,I,Operations,Coordinador Proyectos Ingenieria,3418,40-44
3,3,3,3,3,3,4,4,3,3,4,4,3,4,3,3,4,4,4,3,3,3,4,3,4,3,4,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,4,4,3,4,4,I,Operations,Coordinador Planeacion Produccion,3418,30-34
4,3,4,4,3,2,3,4,3,4,4,4,3,3,3,3,2,3,2,4,3,4,4,3,3,3,4,3,2,4,2,2,3,2,4,3,2,4,4,3,4,4,2,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,4,3,3,3,3,4,3,4,3,3,4,2,3,I,Marketing & Sales,Coordinador Categoria,3418,30-34
3,3,3,4,3,3,3,3,3,4,4,2,4,3,3,3,4,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,J,Operations,Especialista Customer Solution,3418,35-39
3,3,4,4,4,3,4,3,3,4,4,3,3,3,4,3,3,3,3,3,4,3,4,3,3,4,4,3,2,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,K,Marketing & Sales,Wholesales Vendor,3405,35-39
2,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,2,2,3,2,2,3,2,3,3,2,2,2,3,2,2,2,3,2,2,2,2,4,2,4,1,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,3,4,4,3,3,4,3,4,4,3,3,4,K,Operations,Analista Aseguramiento Calidad,3405,30-34
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,2,3,4,4,3,4,4,4,4,3,2,2,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,3,I,Operations,Coordinador Planeacion Distribucion Expo,3405,35-39
4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,3,3,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,I,Operations,Coordinador MRP,3405,35-39
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,3,3,4,3,3,4,3,3,3,3,2,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,3,3,4,3,4,3,3,I,Human Resources,Coordinador Educacion y Entrenamiento,3398,30-34
3,2,3,2,3,2,2,2,3,3,3,2,3,1,1,2,2,2,1,2,1,2,2,2,2,3,2,3,2,3,2,1,2,3,2,2,2,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,2,3,3,3,3,3,3,K,General Services,Analista Tienda de Empleados,3391,55-59
3,3,2,1,4,2,3,2,4,4,3,3,4,2,2,2,2,2,1,2,2,2,2,3,2,3,2,2,2,3,3,2,2,2,3,2,3,4,3,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,3,4,3,4,4,4,3,3,4,3,4,3,3,4,4,4,L,Marketing & Sales,Vendedor,3391,40-44
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,3,3,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,3,4,I,Operations,Coordinador Automatizacion y Control,3376,30-34
4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,H,Marketing & Sales,Jefe Cuentas Clave,3375,30-34
4,4,3,3,4,3,4,4,4,4,4,3,4,3,4,4,3,3,4,2,3,4,4,4,3,4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,I,Operations,Coordinador Agropecuario,3376,30-34
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,3,3,4,4,3,3,4,3,3,3,4,4,3,4,J,Operations,Especialista Instrumentacion y Control,3376,35-39
3,3,3,2,3,2,3,4,4,3,4,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,4,3,2,3,3,2,3,2,3,3,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,4,4,3,3,4,4,3,3,3,3,3,3,3,4,3,3,J,Research & Development,Especialista Laboratorio Quimico,3361,35-39
4,4,4,4,3,2,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,3,4,4,3,3,4,4,3,4,4,3,3,4,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,I,Operations,Coordinador Asuntos Regulatorios,3361,35-39
3,3,2,2,3,2,4,4,4,4,4,3,4,3,3,2,2,2,3,2,2,3,3,3,2,3,3,2,3,3,3,2,2,2,3,3,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,J,Marketing & Sales,Especialista Incentivos y Analisis Venta,3361,35-39
4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,3,4,J,Operations,Especialista Proyectos Supply Chain,3361,35-39
4,4,3,3,4,4,4,4,4,4,4,4,3,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,3,2,4,4,4,4,3,4,3,4,3,3,4,3,2,3,2,3,I,Operations,Coordinador Agropecuario,3361,35-39
4,4,3,3,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,4,4,4,3,2,2,4,4,2,4,3,3,4,4,1,4,3,4,4,3,4,H,Marketing & Sales,Jefe Cuentas Clave,3361,30-34
